time,temperature_c,humidity_percent,wind_speed_kmph,city,extracted_at
2025-12-09T00:00,16.5,63,1.6,Hyderabad,2025-12-09 10:42:27.697968
2025-12-09T01:00,15.7,62,1.5,Hyderabad,2025-12-09 10:42:27.697968
2025-12-09T02:00,15.1,62,1.5,Hyderabad,2025-12-09 10:42:27.697968
2025-12-09T03:00,14.7,61,1.8,Hyderabad,2025-12-09 10:42:27.697968
2025-12-09T04:00,14.3,62,1.5,Hyderabad,2025-12-09 10:42:27.697968
2025-12-09T05:00,12.8,73,1.6,Hyderabad,2025-12-09 10:42:27.697968
2025-12-09T06:00,12.7,72,2.0,Hyderabad,2025-12-09 10:42:27.697968
2025-12-09T07:00,13.8,72,2.5,Hyderabad,2025-12-09 10:42:27.697968
2025-12-09T08:00,18.0,69,1.6,Hyderabad,2025-12-09 10:42:27.697968
2025-12-09T09:00,22.0,49,6.9,Hyderabad,2025-12-09 10:42:27.697968
2025-12-09T10:00,24.7,40,9.4,Hyderabad,2025-12-09 10:42:27.697968
2025-12-09T11:00,26.8,36,11.6,Hyderabad,2025-12-09 10:42:27.697968
2025-12-09T12:00,28.1,31,12.7,Hyderabad,2025-12-09 10:42:27.697968
2025-12-09T13:00,28.8,26,13.1,Hyderabad,2025-12-09 10:42:27.697968
2025-12-09T14:00,28.9,22,13.2,Hyderabad,2025-12-09 10:42:27.697968
2025-12-09T15:00,28.3,23,12.8,Hyderabad,2025-12-09 10:42:27.697968
2025-12-09T16:00,27.0,25,11.7,Hyderabad,2025-12-09 10:42:27.697968
2025-12-09T17:00,24.2,32,7.7,Hyderabad,2025-12-09 10:42:27.697968
2025-12-09T18:00,21.1,42,5.9,Hyderabad,2025-12-09 10:42:27.697968
2025-12-09T19:00,19.1,48,4.8,Hyderabad,2025-12-09 10:42:27.697968
2025-12-09T20:00,17.9,51,4.1,Hyderabad,2025-12-09 10:42:27.697968
2025-12-09T21:00,17.2,52,3.8,Hyderabad,2025-12-09 10:42:27.697968
2025-12-09T22:00,16.8,52,3.3,Hyderabad,2025-12-09 10:42:27.697968
2025-12-09T23:00,16.2,53,2.3,Hyderabad,2025-12-09 10:42:27.697968
